dt;job_id;wall_time;user;wall_limit;n_tasks;ntasks_per_node;account;partition;qos;constraint;mem;gres
21686;1435;61;user2;22;48;12;account1;normal;normal;CPU-M;;
21693;1436;762;user4;30;96;12;account2;normal;normal;;;
21704;1437;476;user3;23;6;6;account1;normal;normal;CPU-M;;
21780;1438;227;user3;5;12;12;account1;normal;normal;;500000;
21839;1439;445;user5;28;6;6;account2;normal;normal;;500000;
21912;1440;295;user5;6;24;12;account2;normal;normal;;;
21946;1441;814;user2;21;36;12;account1;normal;normal;;;
21947;1442;161;user5;18;12;12;account2;normal;normal;CPU-N;;
21979;1443;814;user5;15;1;1;account2;normal;normal;CPU-M;;
22032;1444;792;user2;17;1;1;account1;normal;normal;;500000;
22176;1445;1356;user4;27;96;12;account2;normal;normal;;;
22314;1446;0;user1;30;12;12;account1;normal;normal;;;gpu:2
22317;1447;548;user1;12;1;1;account1;normal;normal;;500000;
22324;1448;1301;user4;30;12;12;account2;normal;normal;;;
22326;1449;328;user4;7;48;12;account2;normal;normal;;;
22397;1450;0;user2;28;24;12;account1;normal;normal;;;
22516;1451;1783;user5;30;12;12;account2;normal;normal;;500000;
22522;1452;94;user3;5;48;12;account1;normal;normal;;;
22570;1453;-1;user5;21;1;1;account2;normal;normal;CPU-M;;
22680;1454;1466;user4;25;12;12;account2;normal;normal;;;
22714;1455;275;user3;5;12;12;account1;normal;normal;;;
22746;1456;490;user5;15;96;12;account2;normal;normal;;;
22765;1457;28;user5;10;12;12;account2;normal;normal;;;gpu:2
22855;1458;-1;user1;7;12;12;account1;normal;normal;CPU-N;;
22980;1459;825;user1;20;12;12;account1;normal;normal;CPU-M;;
22994;1460;221;user2;6;12;12;account1;normal;normal;;;
23069;1461;689;user1;26;6;6;account1;normal;normal;;;
23085;1462;479;user1;19;6;6;account1;normal;normal;CPU-M;;
23086;1463;0;user5;14;12;12;account2;normal;normal;CPU-N;;
23123;1464;0;user5;9;36;12;account2;normal;normal;CPU-N;;
23142;1465;118;user1;5;1;1;account1;normal;normal;;;gpu:1
23208;1466;231;user1;16;36;12;account1;normal;normal;;;
23238;1467;1366;user1;30;24;12;account1;normal;normal;CPU-N;;
23353;1468;578;user2;19;1;1;account1;normal;normal;;;
23491;1469;21;user1;21;36;12;account1;normal;normal;CPU-M;;
23511;1470;0;user3;22;24;12;account1;normal;normal;CPU-M;;
23547;1471;517;user5;25;12;12;account2;normal;normal;;;
23557;1472;127;user3;5;24;12;account1;normal;normal;CPU-M;;
23571;1473;326;user5;7;6;6;account2;normal;normal;;;
23587;1474;0;user2;22;6;6;account1;normal;normal;CPU-N;;
23652;1475;450;user1;13;36;12;account1;normal;normal;CPU-M;;
23671;1476;0;user1;23;36;12;account1;normal;normal;CPU-M;;
23879;1477;200;user2;5;6;6;account1;normal;normal;CPU-N;;
23953;1478;716;user4;22;1;1;account2;normal;normal;;;gpu:1
23972;1479;93;user4;5;1;1;account2;normal;normal;;;
23992;1480;1256;user2;30;36;12;account1;normal;normal;;;
24052;1481;915;user2;19;12;12;account1;normal;normal;;;
24076;1482;-1;user1;7;1;1;account1;normal;normal;CPU-M;;
24209;1483;-1;user4;30;48;12;account2;normal;normal;;;
24270;1484;0;user1;5;36;12;account1;normal;normal;CPU-N;;
24303;1485;1131;user3;19;1;1;account1;normal;normal;CPU-N;;
24550;1486;537;user4;27;48;12;account2;normal;normal;;;
24602;1487;325;user2;11;1;1;account1;normal;normal;;;gpu:1
24619;1488;1221;user3;21;1;1;account1;normal;normal;;;
24658;1489;285;user1;12;6;6;account1;normal;normal;;;
24661;1490;1288;user5;28;6;6;account2;normal;normal;;;
24677;1491;279;user5;24;12;12;account2;normal;normal;CPU-N;;
24686;1492;277;user1;23;6;6;account1;normal;normal;;;
24727;1493;348;user3;6;12;12;account1;normal;normal;;;
24737;1494;377;user4;15;1;1;account2;normal;normal;CPU-N;;
24832;1495;800;user4;22;6;6;account2;normal;normal;;;
24903;1496;698;user3;30;24;12;account1;normal;normal;CPU-M;;
25026;1497;218;user3;20;1;1;account1;normal;normal;;;
25056;1498;241;user1;5;6;6;account1;normal;normal;CPU-N;;
25099;1499;377;user2;8;1;1;account1;normal;normal;;;
25103;1500;92;user5;22;36;12;account2;normal;normal;;;
